EndWeek,StartWeek,Doses,Cases,Deaths,Admissions,DosesPer,Mortality,Mortality2
2020-07-26,2020-07-20,12919,458720,6513,33430,0.3864492970385881,0.19482500747831288,0.2219862399042776
2020-08-02,2020-07-27,11724,432976,7856,38260,0.30642969158389965,0.20533193936225824,0.18625196027182436
2020-08-09,2020-08-03,10511,377311,7421,33160,0.316978287092883,0.22379372738238842,0.20238238841978287
2020-08-16,2020-08-10,10495,354444,7126,31542,0.3327309618920804,0.22592099422991566,0.20001902225603957
2020-08-23,2020-08-17,9218,298989,6711,30231,0.30491879196850913,0.2219906718269326,0.19367536634580398
2020-08-30,2020-08-24,8968,291489,6309,29785,0.3010911532650663,0.21181802920933357,0.1720664764143025
2020-09-06,2020-08-31,8424,287211,5855,27016,0.3118152206100089,0.21672342315664792,0.19795676636067516
2020-09-13,2020-09-07,7894,244208,5125,28356,0.2783890534631119,0.18073776273099168,0.19181125687685147
2020-09-20,2020-09-14,9647,287932,5348,23928,0.4031678368438649,0.22350384486793715,0.20641089936476095
2020-09-27,2020-09-21,11670,308532,5439,24871,0.4692211812954847,0.21868843231072332,0.20799324514494794
2020-10-04,2020-09-28,11101,300980,4939,27575,0.4025747960108794,0.17911151405258385,0.18937443336355395
2020-10-11,2020-10-05,14796,351559,5173,33657,0.43961137356270613,0.15369759633954302,0.1727129571857266
2020-10-18,2020-10-12,16401,393976,5222,37037,0.44282744282744285,0.14099414099414098,0.16232416232416233
2020-10-25,2020-10-19,17827,496128,5813,40946,0.43537830313095294,0.14196746934987545,0.17835686025496997
2020-11-01,2020-10-26,18628,608554,6012,46486,0.40072279826184226,0.1293292604224928,0.1754721851740309
2020-11-08,2020-11-02,19205,816909,7303,56896,0.3375456974128234,0.1283570022497188,0.1954267435320585
2020-11-15,2020-11-09,26176,1056904,8157,71028,0.3685307202793265,0.11484203412738639,0.15227797488314468
2020-11-22,2020-11-16,28076,1215935,11119,81845,0.343038670657951,0.13585435884904393,0.19594355183578716
2020-11-29,2020-11-23,28688,1149529,10816,86872,0.3302329864628419,0.12450501887834975,0.20613085919513768
2020-12-06,2020-11-30,27350,1404294,16037,94603,0.28910288257243427,0.16951893703159518,0.2034502077101149
2020-12-13,2020-12-07,25706,1518655,17907,101653,0.25287989533019195,0.17615810649956223,0.16101836640335257
2020-12-20,2020-12-14,29842,1521865,19247,104999,0.2842122305926723,0.18330650768102552,0.1800588577034067
2020-12-27,2020-12-21,24350,1300367,16368,106345,0.22897174291221967,0.15391414735060416,0.2172927735201467
2021-01-03,2020-12-28,25475,1506803,18906,112345,0.22675686501401932,0.16828519293248476,0.2115447950509591
2021-01-10,2021-01-04,30576,1722175,23108,116391,0.2627007242828054,0.19853768762189516,0.1882104286413898
2021-01-17,2021-01-11,28946,1530089,23766,108755,0.2661578777987219,0.2185278837754586,0.20420210565031494
2021-01-24,2021-01-18,25395,1189490,21906,93990,0.2701883179061602,0.23306734759016917,0.22062985423981274
2021-01-31,2021-01-25,20226,1042851,22208,80607,0.2509211358814991,0.2755095711290583,0.21607304576525613
2021-02-07,2021-02-01,18913,824077,20737,69087,0.27375627831574684,0.3001577720844732,0.19146872783591704
2021-02-14,2021-02-08,12303,638553,17417,55620,0.22119741100323626,0.3131427544048903,0.24775260697590795
2021-02-21,2021-02-15,8369,464787,13228,46438,0.18021878633877428,0.2848529221758043,0.2558465050174426
2021-02-28,2021-02-22,8429,473248,13780,41730,0.2019889767553319,0.3302180685358255,0.22918763479511142
